--- DFS SEARCH MEDIUM [mazes/maze-Medium.txt] ---
(1, 0)
(1, 1)
(1, 2)
(1, 3)
(2, 3)
(3, 3)
(3, 4)
(3, 5)
(2, 5)
(2, 6)
(1, 6)
(1, 7)
(1, 8)
(1, 9)
(2, 9)
(3, 9)
(3, 10)
(4, 10)
(5, 10)
(5, 11)
(6, 11)
(6, 12)
(6, 13)
(7, 13)
(7, 14)
(7, 15)
(6, 15)
(6, 16)
(6, 17)
(6, 18)
(6, 19)
(6, 20)
(6, 21)
(6, 22)
(6, 23)
(7, 23)
(8, 23)
(8, 24)
(8, 25)
(9, 25)
(9, 26)
(9, 27)
(9, 28)
(10, 28)
(10, 29)
(11, 29)
(12, 29)
(13, 29)
(14, 29)
(15, 29)
(16, 29)
(17, 29)
(18, 29)
(19, 29)
(20, 29)
(21, 29)
(21, 30)
(21, 31)
(22, 31)
(23, 31)
(23, 32)
(23, 33)
(23, 34)
(23, 35)
(23, 36)
(23, 37)
(23, 38)
(22, 38)
(22, 39)
(21, 39)
(20, 39)
(20, 40)
(20, 41)
(20, 42)
(21, 42)
(22, 42)
(22, 43)
(22, 44)
(23, 44)
(23, 45)
(23, 46)
(24, 46)
(25, 46)
(26, 46)
(26, 45)
(27, 45)
(28, 45)
(29, 45)
(29, 44)
(29, 43)
(30, 43)
(31, 43)
(31, 42)
(32, 42)
(33, 42)
(34, 42)
(35, 42)
(36, 42)
(36, 41)
(37, 41)
(38, 41)
(38, 42)
(39, 42)
(40, 42)
(41, 42)
(41, 43)
(42, 43)
(43, 43)
(44, 43)
(44, 44)
(44, 45)
(45, 45)
(45, 46)
(45, 47)
(46, 47)
(47, 47)
(48, 47)
(49, 47)
(50, 47)
(51, 47)
(52, 47)
(53, 47)
(54, 47)
(55, 47)
(55, 48)
(56, 48)
(57, 48)
(58, 48)
(59, 48)
(60, 48)
(60, 47)
(61, 47)
(62, 47)
(62, 48)
(62, 49)
(63, 49)
(64, 49)
(65, 49)
(65, 50)
(65, 51)
(66, 51)
(66, 52)
(67, 52)
(68, 52)
(69, 52)
(69, 53)
(70, 53)
(70, 54)
(70, 55)
(70, 56)
(70, 57)
(70, 58)
(71, 58)
(72, 58)
(73, 58)
(74, 58)
(75, 58)
(76, 58)
(77, 58)
(77, 59)
(77, 60)
(77, 61)
(78, 61)
(79, 61)
(80, 61)
(81, 61)
(82, 61)
(82, 62)
(82, 63)
(83, 63)
(83, 64)
(83, 65)
(84, 65)
(85, 65)
(86, 65)
(87, 65)
(88, 65)
(89, 65)
(89, 66)
(89, 67)
(90, 67)
(90, 68)
(91, 68)
(91, 69)
(92, 69)
(92, 70)
(92, 71)
(93, 71)
(93, 72)
(93, 73)
(92, 73)
(92, 74)
(92, 75)
(93, 75)
(93, 76)
(94, 76)
(95, 76)
(96, 76)
(97, 76)
(97, 75)
(98, 75)
(99, 75)
(99, 74)
(99, 73)
(100, 73)
(101, 73)
(102, 73)
(102, 72)
(102, 71)
(102, 70)
(103, 70)
(104, 70)
(104, 69)
(105, 69)
(106, 69)
(107, 69)
(108, 69)
(109, 69)
(110, 69)
(111, 69)
(112, 69)
(113, 69)
(114, 69)
(115, 69)
(116, 69)
(117, 69)
(117, 70)
(118, 70)
(119, 70)
(119, 69)
(119, 68)
(119, 67)
(119, 66)
(120, 66)
(121, 66)
(122, 66)
(123, 66)
(124, 66)
(124, 65)
(125, 65)
(126, 65)
(126, 66)
(126, 67)
(126, 68)
(127, 68)
(128, 68)
(128, 69)
(129, 69)
(130, 69)
(131, 69)
(131, 68)
(132, 68)
(133, 68)
(134, 68)
(135, 68)
(136, 68)
(137, 68)
(137, 69)
(137, 70)
(138, 70)
(139, 70)
(140, 70)
(141, 70)
(142, 70)
(142, 71)
(143, 71)
(143, 72)
(144, 72)
(144, 73)
(144, 74)
(145, 74)
(146, 74)
(146, 75)
(147, 75)
(148, 75)
(149, 75)
(150, 75)
(151, 75)
(151, 76)
(152, 76)
(153, 76)
(153, 77)
(153, 78)
(153, 79)
(154, 79)
(155, 79)
(156, 79)
(156, 80)
(156, 81)
(155, 81)
(155, 82)
(154, 82)
(153, 82)
(152, 82)
(151, 82)
(150, 82)
(149, 82)
(148, 82)
(147, 82)
(146, 82)
(146, 83)
(146, 84)
(145, 84)
(144, 84)
(144, 83)
(143, 83)
(143, 82)
(142, 82)
(141, 82)
(140, 82)
(139, 82)
(139, 81)
(138, 81)
(138, 80)
(138, 79)
(137, 79)
(136, 79)
(135, 79)
(135, 80)
(134, 80)
(133, 80)
(132, 80)
(132, 81)
(131, 81)
(131, 82)
(130, 82)
(130, 83)
(129, 83)
(128, 83)
(127, 83)
(126, 83)
(126, 84)
(126, 85)
(125, 85)
(124, 85)
(124, 86)
(124, 87)
(124, 88)
(124, 89)
(124, 90)
(125, 90)
(125, 91)
(126, 91)
(127, 91)
(128, 91)
(129, 91)
(130, 91)
(131, 91)
(131, 92)
(131, 93)
(131, 94)
(131, 95)
(132, 95)
(133, 95)
(134, 95)
(135, 95)
(135, 94)
(135, 93)
(136, 93)
(137, 93)
(137, 92)
(137, 91)
(138, 91)
(139, 91)
(139, 90)
(140, 90)
(141, 90)
(142, 90)
(143, 90)
(143, 91)
(144, 91)
(145, 91)
(145, 92)
(145, 93)
(145, 94)
(146, 94)
(147, 94)
(147, 95)
(148, 95)
(149, 95)
(150, 95)
(150, 94)
(151, 94)
(152, 94)
(152, 93)
(153, 93)
(154, 93)
(155, 93)
(156, 93)
(156, 92)
(157, 92)
(158, 92)
(159, 92)
(160, 92)
(161, 92)
(162, 92)
(163, 92)
(164, 92)
(165, 92)
(166, 92)
(167, 92)
(168, 92)
(169, 92)
(170, 92)
(171, 92)
(172, 92)
(173, 92)
(174, 92)
(175, 92)
(176, 92)
(177, 92)
(178, 92)
(179, 92)
(180, 92)
(181, 92)
(182, 92)
(182, 91)
(182, 90)
(182, 89)
(183, 89)
(184, 89)
(185, 89)
(186, 89)
(187, 89)
(188, 89)
(189, 89)
(190, 89)
(191, 89)
(191, 90)
(192, 90)
(193, 90)
(194, 90)
(194, 91)
(194, 92)
(194, 93)
(193, 93)
(192, 93)
(192, 94)
(192, 95)
(193, 95)
(194, 95)
(195, 95)
(196, 95)
(197, 95)
(198, 95)
(198, 96)
(198, 97)
(198, 98)
(198, 99)
